STATION_COMPLEX_ID,STATION_COMPLEX,BOROUGH,LATITUDE,LONGITUDE,TOTAL_RIDERSHIP,TOTAL_TRANSFERS,DAYS_ACTIVE,AVG_DAILY_RIDERSHIP
369,Elder Av (6),Bronx,40.828583,-73.87916,18438.0,79.0,11,1676.18
288,Myrtle-Willoughby Avs (G),Brooklyn,40.69457,-73.94904,18433.0,400.0,11,1675.73
189,Grant Av (A),Brooklyn,40.677044,-73.86505,18433.0,215.0,11,1675.73
212,"Kingsbridge Rd (B,D)",Bronx,40.866978,-73.89351,18406.0,770.0,11,1673.27
341,"Eastern Pkwy-Brooklyn Museum (2,3)",Brooklyn,40.671986,-73.96438,18377.0,49.0,11,1670.64
49,Avenue J (Q),Brooklyn,40.62504,-73.9608,18314.0,1837.0,11,1664.91
325,Canal St (1),Manhattan,40.722855,-74.00628,18223.0,15.0,11,1656.64
67,20 Av (D),Brooklyn,40.604557,-73.99817,18211.0,344.0,11,1655.55
50,Avenue M (Q),Brooklyn,40.61762,-73.9594,18165.0,800.0,11,1651.36
74,18 Av (N),Brooklyn,40.62067,-73.99042,18054.0,754.0,11,1641.27
290,Classon Av (G),Brooklyn,40.688873,-73.96007,18038.0,256.0,10,1803.8
30,Prospect Av (R),Brooklyn,40.665413,-73.992874,17908.0,111.0,11,1628.0
152,"135 St (C,B)",Manhattan,40.817894,-73.94765,17844.0,263.0,11,1622.18
22,"Rector St (R,W)",Manhattan,40.70722,-74.01334,17815.0,1121.0,11,1619.55
615,New Utrecht Av (N)/62 St (D),Brooklyn,40.625846813633515,-73.99639003943851,17704.0,360.0,11,1609.45
365,Castle Hill Av (6),Bronx,40.834255,-73.85122,17551.0,992.0,11,1595.55
339,"Bergen St (2,3)",Brooklyn,40.68083,-73.9751,17423.0,330.0,11,1583.91
64,71 St (D),Brooklyn,40.61959,-73.99886,17378.0,59.0,11,1579.82
352,New Lots Av (3),Brooklyn,40.666237,-73.88408,17341.0,1707.0,11,1576.45
291,Clinton-Washington Avs (G),Brooklyn,40.688087,-73.96684,17237.0,183.0,11,1567.0
182,Ralph Av (C),Brooklyn,40.67882,-73.920784,17172.0,556.0,11,1561.09
383,183 St (4),Bronx,40.858406,-73.90388,16976.0,46.0,11,1543.27
258,"Briarwood (E,F)",Queens,40.70918,-73.82057,16961.0,410.0,11,1541.91
368,Morrison Av-Soundview (6),Bronx,40.82952,-73.87452,16895.0,934.0,11,1535.91
209,Far Rockaway-Mott Av (A),Queens,40.603996,-73.7554,16785.0,1403.0,11,1525.91
385,176 St (4),Bronx,40.84848,-73.9118,16554.0,58.0,11,1504.91
156,"103 St (C,B)",Manhattan,40.796093,-73.96146,16493.0,80.0,11,1499.36
376,Brook Av (6),Bronx,40.807568,-73.91924,16465.0,33.0,11,1496.82
380,Bedford Park Blvd-Lehman College (4),Bronx,40.873413,-73.89006,16344.0,1108.0,11,1485.82
286,Broadway (G),Brooklyn,40.706093,-73.95031,16335.0,940.0,11,1485.0
217,"170 St (B,D)",Bronx,40.839306,-73.9134,16301.0,466.0,11,1481.91
463,Hunters Point Av (7),Queens,40.742214,-73.94891,16258.0,1392.0,11,1478.0
130,Wilson Av (L),Brooklyn,40.688763,-73.904045,16254.0,89.0,10,1625.4
344,Kingston Av (3),Brooklyn,40.6694,-73.94216,16139.0,190.0,11,1467.18
428,"174 St (2,5)",Bronx,40.837288,-73.88773,16104.0,880.0,11,1464.0
198,Howard Beach-JFK Airport (A),Queens,40.660477,-73.8303,15960.0,86.0,11,1450.91
280,Jamaica-Van Wyck (E),Queens,40.702564,-73.81686,15887.0,319.0,10,1588.7
296,Marble Hill-225 St (1),Manhattan,40.87456,-73.90983,15856.0,827.0,11,1441.45
110,Forest Av (M),Queens,40.704422,-73.903076,15712.0,533.0,11,1428.36
357,"Beverly Rd (2,5)",Brooklyn,40.6451,-73.94896,15556.0,57.0,11,1414.18
53,Neck Rd (Q),Brooklyn,40.595245,-73.95516,15477.0,82.0,11,1407.0
427,"West Farms Sq-E Tremont Av (2,5)",Bronx,40.840294,-73.88005,15205.0,1196.0,11,1382.27
348,Rockaway Av (3),Brooklyn,40.662548,-73.90894,15172.0,177.0,11,1379.27
75,20 Av (N),Brooklyn,40.61741,-73.98502,15009.0,61.0,11,1364.45
69,25 Av (D),Brooklyn,40.597706,-73.98683,15006.0,802.0,11,1364.18
347,Saratoga Av (3),Brooklyn,40.661453,-73.91633,14987.0,305.0,11,1362.45
145,190 St (A),Manhattan,40.85902,-73.93418,14943.0,112.0,10,1494.3
373,E 149 St (6),Bronx,40.81212,-73.9041,14859.0,343.0,11,1350.82
257,Sutphin Blvd (F),Queens,40.70546,-73.81071,14675.0,553.0,11,1334.09
433,"Jackson Av (2,5)",Bronx,40.81649,-73.90781,14673.0,42.0,11,1333.91
103,"Bowery (J,Z)",Manhattan,40.72028,-73.99391,14653.0,65.0,11,1332.09
294,238 St (1),Bronx,40.884666,-73.90087,14584.0,498.0,11,1325.82
416,Wakefield-241 St (2),Bronx,40.903126,-73.85062,14523.0,477.0,11,1320.27
238,"Smith-9 Sts (F,G)",Brooklyn,40.67358,-73.99596,14475.0,1263.0,11,1315.91
386,Mt Eden Av (4),Bronx,40.844433,-73.91469,14464.0,25.0,11,1314.91
190,80 St (A),Queens,40.67937,-73.85899,14239.0,61.0,11,1294.45
78,Avenue U (N),Brooklyn,40.597473,-73.97913,14228.0,1678.0,11,1293.45
149,163 St-Amsterdam Av (C),Manhattan,40.836014,-73.939896,14030.0,92.0,11,1275.45
214,"182-183 Sts (B,D)",Bronx,40.856094,-73.90074,13934.0,74.0,11,1266.73
99,"Lorimer St (M,J)",Brooklyn,40.70387,-73.94741,13919.0,278.0,11,1265.36
60,Fort Hamilton Pkwy (D),Brooklyn,40.640915,-73.9943,13790.0,43.0,11,1253.64
113,Knickerbocker Av (M),Brooklyn,40.698666,-73.91971,13768.0,117.0,11,1251.64
114,Central Av (M),Brooklyn,40.697857,-73.9274,13693.0,109.0,11,1244.82
45,Beverley Rd (Q),Brooklyn,40.64403,-73.96449,13642.0,49.0,11,1240.18
108,Middle Village-Metropolitan Av (M),Queens,40.711395,-73.8896,13592.0,2975.0,11,1235.64
444,Gun Hill Rd (5),Bronx,40.869526,-73.84638,13364.0,1435.0,11,1214.91
84,85 St-Forest Pkwy (J),Queens,40.692436,-73.86001,13351.0,189.0,11,1213.73
216,"174-175 Sts (B,D)",Bronx,40.8459,-73.91013,13122.0,31.0,11,1192.91
6,"39 Av-Dutch Kills (N,W)",Queens,40.75288,-73.932755,13025.0,36.0,11,1184.09
391,"138 St-Grand Concourse (4,5)",Bronx,40.813225,-73.92985,12940.0,121.0,11,1176.36
423,"Allerton Av (2,5)",Bronx,40.865463,-73.867355,12934.0,591.0,11,1175.82
429,"Freeman St (2,5)",Bronx,40.829994,-73.89187,12816.0,63.0,11,1165.09
350,Pennsylvania Av (3),Brooklyn,40.664635,-73.8949,12723.0,934.0,11,1156.64
31,25 St (R),Brooklyn,40.660397,-73.99809,12468.0,56.0,11,1133.45
61,50 St (D),Brooklyn,40.63626,-73.99479,12371.0,506.0,11,1124.64
244,Ditmas Av (F),Brooklyn,40.63612,-73.97817,12301.0,34.0,10,1230.1
268,"65 St (M,R)",Queens,40.74967,-73.89845,12182.0,30.0,11,1107.45
343,Nostrand Av (3),Brooklyn,40.669846,-73.95046,12095.0,294.0,11,1099.55
442,Eastchester-Dyre Av (5),Bronx,40.8883,-73.83083,12013.0,1152.0,11,1092.09
353,"President St-Medgar Evers College (2,5)",Brooklyn,40.667885,-73.95068,12012.0,59.0,11,1092.0
136,New Lots Av (L),Brooklyn,40.658733,-73.89923,11947.0,1162.0,11,1086.09
361,Buhre Av (6),Bronx,40.84681,-73.832565,11862.0,680.0,11,1078.36
418,"233 St (2,5)",Bronx,40.893192,-73.857475,11835.0,799.0,11,1075.91
260,"75 Av (E,F)",Queens,40.71833,-73.837326,11500.0,54.0,11,1045.45
367,St Lawrence Av (6),Bronx,40.83151,-73.867615,11475.0,45.0,11,1043.18
272,"36 St (M,R)",Queens,40.75204,-73.92878,11399.0,150.0,11,1036.27
87,"Crescent St (J,Z)",Brooklyn,40.683193,-73.87379,11318.0,311.0,11,1028.91
56,Ocean Pkwy (Q),Brooklyn,40.576313,-73.9685,11111.0,216.0,11,1010.09
372,Longwood Av (6),Bronx,40.816105,-73.89644,10809.0,194.0,11,982.64
245,18 Av (F),Brooklyn,40.629753,-73.976974,10709.0,694.0,10,1070.9
250,Kings Hwy (F),Brooklyn,40.603218,-73.97236,10708.0,980.0,11,973.45
287,Flushing Av (G),Brooklyn,40.70038,-73.95023,10621.0,208.0,11,965.55
82,"104 St (J,Z)",Queens,40.69518,-73.84433,10453.0,74.0,11,950.27
363,Westchester Sq-E Tremont Av (6),Bronx,40.839893,-73.84295,10366.0,1567.0,11,942.36
100,"Hewes St (M,J)",Brooklyn,40.70687,-73.95343,10365.0,85.0,11,942.27
111,Seneca Av (M),Queens,40.702763,-73.90774,10364.0,97.0,11,942.18
48,Avenue H (Q),Brooklyn,40.62927,-73.96164,10321.0,52.0,11,938.27
57,"W 8 St-NY Aquarium (F,Q)",Brooklyn,40.576126,-73.97594,10235.0,106.0,11,930.45
93,"Chauncey St (J,Z)",Brooklyn,40.68289,-73.91045,9785.0,112.0,11,889.55
138,Canarsie-Rockaway Pkwy (L),Brooklyn,40.646652,-73.90185,9602.0,554.0,11,872.91
135,Livonia Av (L),Brooklyn,40.66404,-73.90057,9552.0,1764.0,11,868.36
137,East 105 St (L),Brooklyn,40.650574,-73.89948,9540.0,137.0,11,867.27
191,88 St (A),Queens,40.679844,-73.85147,9420.0,18.0,11,856.36
375,Cypress Av (6),Bronx,40.805367,-73.91404,9419.0,15.0,11,856.27
131,Bushwick Av-Aberdeen St (L),Brooklyn,40.68283,-73.90525,9412.0,13.0,10,941.2
436,Harlem-148 St (3),Manhattan,40.82388,-73.93647,9378.0,51.0,11,852.55
419,"225 St (2,5)",Bronx,40.888023,-73.860344,9141.0,159.0,11,831.0
186,Van Siclen Av (C),Brooklyn,40.67271,-73.89036,9074.0,18.0,11,824.91
79,86 St (N),Brooklyn,40.59272,-73.97823,8990.0,810.0,11,817.27
83,"Woodhaven Blvd (J,Z)",Queens,40.69388,-73.85158,8895.0,720.0,11,808.64
